0,0,161
0,0,161
1,0,161
1,0,161
2,0,161
2,0,161
2,0,161
7,0,161
16,0,161
26,0,161
36,1,160
48,1,158
58,1,157
68,1,155
78,1,155
89,2,154
99,2,155
109,2,154
121,2,154
133,2,154
144,2,154
155,3,155
166,3,155
178,3,155
190,3,155
201,3,155
212,4,155
224,4,155
235,4,155
247,4,155
259,4,155
270,4,155
281,5,155
292,5,155
304,5,155
316,5,154
327,5,154
338,6,154
350,6,154
361,6,155
372,6,155
385,6,155
396,7,155
407,7,155
418,7,155
430,7,155
441,7,155
453,7,155
464,8,155
476,8,155
487,8,156
498,8,158
509,8,159
522,9,159
533,9,160
544,9,160
556,9,161
567,9,162
578,10,162
591,10,162
604,10,162
616,10,162
628,10,163
641,11,163
654,11,163
666,11,164
678,11,165
691,11,167
703,12,170
716,12,170
729,12,173
741,12,174
753,12,175
765,13,175
778,13,176
791,13,176
803,13,177
816,14,177
828,14,178
840,14,178
854,14,179
866,14,179
878,15,180
890,15,181
903,15,183
916,15,184
928,15,186
941,16,188
953,16,191
965,16,193
977,16,195
991,16,196
1003,17,197
1016,17,197
1030,17,197
1043,17,197
1057,18,197
1071,18,197
1084,18,197
1097,18,197
1111,18,198
1125,19,199
1138,19,198
1152,19,198
1165,19,199
1179,20,201
1192,20,204
1206,20,203
1219,20,204
1232,20,204
1247,21,204
1260,21,204
1273,21,204
1287,21,204
1300,22,204
1314,22,204
1328,22,204
1341,22,204
1354,22,204
1368,23,204
1382,23,204
1395,23,205
1409,23,204
1422,24,207
1435,24,207
1449,24,206
1463,24,206
1476,24,206
1489,25,206
1503,25,206
1517,25,206
1530,25,206
1544,25,206
1557,26,206
1570,26,206
1585,26,206
1598,26,206
1611,27,206
1625,27,206
1638,27,207
1652,27,206
1666,27,207
1679,28,208
1692,28,208
1705,28,208
1720,28,208
1733,28,208
1746,29,208
1760,29,208
1773,29,208
1787,29,208
1801,30,208
1814,30,207
1827,30,207
1841,30,207
1855,30,208
1868,31,208
1882,31,208
1895,31,208
1908,31,208
1923,31,209
1936,32,210
1949,32,210
1963,32,210
1976,32,209
1990,33,209
2003,33,209
2017,33,209
2030,33,209
2044,33,209
2058,34,209
2071,34,209
2084,34,209
2098,34,209
2112,34,210
2125,35,210
2139,35,210
2152,35,210
2165,35,211
2180,36,211
2193,36,211
2206,36,212
2220,36,211
2233,36,211
2247,37,211
2260,37,211
2274,37,211
2287,37,211
2300,37,211
2315,38,211
2328,38,211
2341,38,211
2355,38,211
2368,38,211
2382,39,211
2396,39,211
2409,39,211
2422,39,211
2436,40,211
2450,40,213
2463,41,213
